mass_GeV,delta_keV,recoil_keV,raw_counts_per_keV_in_2p84_tonne_year
1440.0,380.38780826624486,42.278625000000005,0.0
1440.0,380.38780826624486,42.444,0.0
1440.0,380.38780826624486,42.609375,0.0
1440.0,380.38780826624486,42.774750000000004,0.0
1440.0,380.38780826624486,42.940125,0.0
1440.0,380.38780826624486,43.105500000000006,0.0
1440.0,380.38780826624486,43.270875000000004,0.0
1440.0,380.38780826624486,43.43625,0.0
1440.0,380.38780826624486,43.601625000000006,0.0
1440.0,380.38780826624486,43.767,0.0
1440.0,380.38780826624486,43.932375,0.0
1440.0,380.38780826624486,44.097750000000005,0.0
1440.0,380.38780826624486,44.263125,0.0
1440.0,380.38780826624486,44.42850000000001,0.0
1440.0,380.38780826624486,44.593875000000004,0.0
1440.0,380.38780826624486,44.75925,0.0
1440.0,380.38780826624486,44.924625000000006,0.0
1440.0,380.38780826624486,45.09,0.0
1440.0,380.38780826624486,45.255375,0.0
1440.0,380.38780826624486,45.420750000000005,0.0
1440.0,380.38780826624486,45.586125,0.0
1440.0,380.38780826624486,45.75150000000001,0.0
1440.0,380.38780826624486,45.916875000000005,0.0
1440.0,380.38780826624486,46.08225,0.0
1440.0,380.38780826624486,46.247625000000006,0.0
1440.0,380.38780826624486,46.413000000000004,0.0
1440.0,380.38780826624486,46.578375,0.0
1440.0,380.38780826624486,46.743750000000006,0.0
1440.0,380.38780826624486,46.909125,0.0
1440.0,380.38780826624486,47.07450000000001,0.0
1440.0,380.38780826624486,47.239875000000005,0.0
1440.0,380.38780826624486,47.40525,0.0
1440.0,380.38780826624486,47.57062500000001,0.0
1440.0,380.38780826624486,47.736000000000004,0.0
1440.0,380.38780826624486,47.901375,0.0
1440.0,380.38780826624486,48.066750000000006,0.0
1440.0,380.38780826624486,48.232125,0.0
1440.0,380.38780826624486,48.3975,0.0
1440.0,380.38780826624486,48.562875000000005,0.0
1440.0,380.38780826624486,48.72825,0.0
