photon_energy_keV,raw_photons_per_tonne_year_keV_R100nm,raw_photons_per_tonne_year_keV_R049nm,raw_photons_per_tonne_year_keV_colored_Ec10keV,atomic_shape_over_high_energy_R100nm
46.25,3.220629889227135e-07,2.736848856144499,1.4383832024461732e-08,1.0127985371399608
46.5,3.220103921554729e-07,2.7363615219736883,1.4234076346799554e-08,1.0181068275549732
46.75,3.2181784409599056e-07,2.7346933554625275,1.4080465710125649e-08,1.0229684640200218
47.0,3.214828135100398e-07,2.731823286120631,1.3923032200521429e-08,1.0273682205410672
47.25,3.2100444990123614e-07,2.7277443540756323,1.3761879902520774e-08,1.0312960987485444
47.5,3.203835968262582e-07,2.722463818085538,1.3597181828170108e-08,1.0347475137518072
47.75,3.196227730160731e-07,2.716002993671529,1.3429175621063442e-08,1.0377233768269458
48.0,3.1872612169844125e-07,2.7083968247728505,1.325815814053416e-08,1.0402300723972924
48.25,3.1769932917702946e-07,2.6996931978559298,1.3084479051796626e-08,1.04227932898513
48.5,3.1654951436335315e-07,2.6899520127769434,1.2908533565637807e-08,1.0438879860701078
48.75,3.152850915658458e-07,2.6792440297864255,1.2730754485939516e-08,1.0450776610361254
49.0,3.1391560940242255e-07,2.6676495167659393,1.2551603734603061e-08,1.0458743225744578
49.25,3.124515692065408e-07,2.655256724996258,1.2371563531155566e-08,1.0463077789872062
49.5,3.109042267305557e-07,2.642160225378965,1.2191127408315093e-08,1.0464110917534766
49.75,3.092853813040963e-07,2.6284591399849955,1.2010791245031771e-08,1.0462199264351684
50.0,3.0760715687076453e-07,2.6142553060141,1.1831044495029405e-08,1.045771854467566
50.25,3.058817794970846e-07,2.5996514106634105,1.1652361781751276e-08,1.045105620564389
50.5,3.0412135601867845e-07,2.5847491359832744,1.1475195020042579e-08,1.0442603913356545
50.75,3.023376584577216e-07,2.569647352524525,1.1299966211132112e-08,1.0432750012443692
51.0,3.0054191871268223e-07,2.554440399452752,1.1127061040824964e-08,1.0421872121968792
51.25,2.987446377884057e-07,2.539216486840937,1.0956823391666455e-08,1.041033002862044
51.5,2.9695541350628484e-07,2.5240562530904525,1.0789550858616943e-08,1.0398459032451408
51.75,2.9518279021739734e-07,2.5090315069293228,1.062549133496447e-08,1.0386563891113523
52.0,2.934341335450367e-07,2.4942041792712057,1.0464840711306588e-08,1.0374913495774618
52.25,2.917155326179592e-07,2.479625505480538,1.0307741705985617e-08,1.0363736395942913
52.5,2.900317316345757e-07,2.4653354533848937,1.0154283820904181e-08,1.0353217271600295
52.75,2.883860919353661e-07,2.4513624068232063,1.0004504392718842e-08,1.0343494429770403
53.0,2.8678058507122296e-07,2.437723108745716,9.858390686532244e-09,1.0334658379398514
53.25,2.8521581665526477e-07,2.4244228620223147,9.715882957874844e-09,1.0326751513732644
53.5,2.8369108009128386e-07,2.4114559803074367,9.57687838944329e-09,1.0319768903847206
53.75,2.822044385997791e-07,2.3988064756885836,9.44123579215152e-09,1.0313660181150095
54.0,2.807528333283982e-07,2.38644896454503,9.308780945901798e-09,1.030833246128378
54.25,2.7933221475267796e-07,2.3743497681892154,9.179312444377266e-09,1.030365423739239
54.5,2.7793769405907786e-07,2.362468180571568,9.052607900303814e-09,1.0299460147884025
54.75,2.765637107677518e-07,2.3507578717023723,8.928430363156574e-09,1.0295556503142111
55.0,2.752042125076493e-07,2.3391683925681646,8.806534800244777e-09,1.0291727437653773
55.25,2.7385284260958835e-07,2.3276467452634115,8.68667449446564e-09,1.0287741539187831
55.5,2.7250313103967567e-07,2.316138980868639,8.56860721766137e-09,1.0283358795354394
55.75,2.7114868415909934e-07,2.304591787310749,8.452101047255139e-09,1.0278337690410986
56.0,2.697833688674554e-07,2.2929540300442555,8.336939705421985e-09,1.0272442281750478
56.25,2.684014868632991e-07,2.2811782098759212,8.222927314146071e-09,1.026544908621586
56.5,2.669979350328054e-07,2.2692218045800034,8.109892475747753e-09,1.0257153611234122
56.75,2.6556834834804717e-07,2.257048464056368,7.997691606408467e-09,1.0247376374637953
57.0,2.641092221109103e-07,2.244629032589135,7.88621146942103e-09,1.0235968269738462
57.25,2.6261801090542267e-07,2.2319423761719217,7.775370874866791e-09,1.0222815148414401
57.5,2.6109320220689144e-07,2.218975997765199,7.665121532679382e-09,1.0207841514292662
57.75,2.595343632258985e-07,2.2057264286177563,7.555448066109379e-09,1.0191013240029256
58.0,2.579421602230475e-07,2.1921993892854825,7.44636721198174e-09,1.017233924670944
58.25,2.563183501999244e-07,2.1784097195789025,7.337926252390972e-09,1.015187210886566
58.5,2.546657455363713e-07,2.1643810822271403,7.230200739197141e-09,1.0129707574920541
58.75,2.5298815278747135e-07,2.15014545042315,7.123291587504693e-09,1.0105983019334839
59.0,2.512902874598796e-07,2.135742394481814,7.017321626916493e-09,1.0080874868710412
59.25,2.4957766714163735e-07,2.1212181874764604,6.912431709508902e-09,1.0054595068911671
59.5,2.4785648584918733e-07,2.1066247538103657,6.808776480988595e-09,1.002738668330427
59.75,2.4613347286853656e-07,2.0920184881324095,6.706519926255658e-09,0.9999518732891969
60.0,2.4441573969503814e-07,2.0774589747424015,6.605830802568599e-09,0.9971280406950822
60.25,2.4271061891102136e-07,2.063007639592523,6.506878072713831e-09,0.9942974787278621
60.5,2.410254989778772e-07,2.0487263681385626,6.409826447121261e-09,0.9914912240049558
60.75,2.3936765895712603e-07,2.034676122610761,6.314832137898426e-09,0.9887403636238278
61.0,2.3774410711396146e-07,2.020915591763416,6.222038919496505e-09,0.9860753564505187
61.25,2.3616142719978877e-07,2.0074999048500595,6.131574580440763e-09,0.9835253699273757
61.5,2.3462563596277862e-07,1.9944794395023744,6.04354783856729e-09,0.9811176481543972
61.75,2.3314205510510072e-07,1.9818987504300047,5.95804577885226e-09,0.9788769260941864
62.0,2.3171520050193372e-07,1.9697956424855976,5.8751318585682994e-09,0.9768249034869074
62.25,2.3034869103192365e-07,1.9582004077496944,5.794844509537238e-09,0.9749797904745037
62.5,2.290451788542506e-07,1.9471352419900076,5.717196352056177e-09,0.9733559350664697
62.75,2.2780630241762184e-07,1.9366138512541073,5.642174020033667e-09,0.9719635404830649
63.0,2.2663266291577346e-07,1.926641254584157,5.569738582348819e-09,0.9708084781418314
63.25,2.2552382432711645e-07,1.9172137840196877,5.499826531777444e-09,0.9698921996692195
63.5,2.2447833660755133e-07,1.9083192783009688,5.4323513003218905e-09,0.9692117488827994
63.75,2.2349378105924022e-07,1.8999374621186276,5.367205248702204e-09,0.9687598722632048
64.0,2.225668363874347e-07,1.8920404984847916,5.3042620683373376e-09,0.9685252240797424
64.25,2.2169336349428792e-07,1.8845936979272264,5.243379526539353e-09,0.9684926601078424
64.5,2.2086850665341225e-07,1.8775563648183924,5.184402479981509e-09,0.9686436118343177
64.75,2.2008680837055732e-07,1.8708827583193417,5.127166077851104e-09,0.9689565312361675
65.0,2.1934233497101642e-07,1.8645231432012612,5.0714990744743675e-09,0.969407394682086
65.25,2.1862880976804068e-07,1.8584249042455,5.017227171567606e-09,0.9699702532767114
65.5,2.179397505613293e-07,1.8525336970386594,4.964176312540955e-09,0.9706178160713002
65.75,2.1726860819112133e-07,1.84679460777751,4.912175855329228e-09,0.9713220520171909
66.0,2.1660890293000342e-07,1.841153295166438,4.8610615558797895e-09,0.9720547963470594
66.25,2.1595435562772166e-07,1.8355570885982881,4.810678301487708e-09,0.9727883472312818
66.5,2.152990107286644e-07,1.8299560185131674,4.760882541404487e-09,0.9734960390613561
66.75,2.1463734855022274e-07,1.824303757070213,4.711544371309201e-09,0.9741527795394276
67.0,2.1396438453447783e-07,1.818558449973986,4.662549238057918e-09,0.9747355388749217
67.25,2.132757535559835e-07,1.8126834233898221,4.6137992413511655e-09,0.9752237807715209
67.5,2.125677777743281e-07,1.8066477532734955,4.5652140193144285e-09,0.9755998264899884
67.75,2.118375169505888e-07,1.800426688037639,4.51673121521491e-09,0.9758491450496377
68.0,2.1108280059042315e-07,1.7940019191858456,4.468306532396764e-09,0.9759605645354296
68.25,2.103022417220676e-07,1.7873616982708695,4.4199133937830285e-09,0.9759264014585116
