"source_head","mcp_tool_name","family","source_name_resolution","registration_sites","descriptor_state","evidence_capability_id","offer_disposition","installed_catalog_acceptance"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_unbind_chat","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:10094","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_unbind_run","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:10065","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_cancel","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6295|run_mcp:server/mcp/helix-run-mcp-server.ts:516","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_continue","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6252|run_mcp:server/mcp/helix-run-mcp-server.ts:473","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_evidence_reenter","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6166|run_mcp:server/mcp/helix-run-mcp-server.ts:430","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_fetch_evidence","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6363|run_mcp:server/mcp/helix-run-mcp-server.ts:584","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_inspect","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6334|run_mcp:server/mcp/helix-run-mcp-server.ts:555","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_list_events","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6392|run_mcp:server/mcp/helix-run-mcp-server.ts:613","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_run_start","run","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:6129|run_mcp:server/mcp/helix-run-mcp-server.ts:393","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_surface_blank","surface","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:4470","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_surface_configure","surface","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4454","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_surface_inspect","surface","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4399","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_surface_list","surface","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4213","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_surface_prepare_panel_route","surface","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4414","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_surface_release","surface","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:4470","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_visual_sequence_get_contact_sheet","visual","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4300","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_visual_sequence_get_frames","visual","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4344","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_visual_sequence_inspect_manifest","visual","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4272","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_visual_sequence_list","visual","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4228","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_workstation_human_control_present","workstation","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5409","gap","","unselected","not_run"
